NMAquiferTable,MatchField,SamplePtID,WCLab_ID,SamplePointID,AnalysesAgency,StudySample,DataQuality,SampleType,CollectionDate,CollectionMethod,CollectedBy,WaterType,SampleNotes,DataSource,SampleMaterialNotH2O,OBJECTID,LocationId,AddedDaytoDate,AddedMonthDaytoDate,SSMA_TimeStamp,PublicRelease
dbo.Chemistry SampleInfo,DataSource,B8AF9D08-53B6-4F1F-AC83-01B7A6DAB750,,NM-00262A,USGS,,true,SD,1938-07-13 00:00:00.000,U,A,,,USGS,,7181,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x0000000000024A88,true
dbo.Chemistry SampleInfo,DataSource,2C4BB2BF-5655-4F49-A1AA-02149480AD68,,NM-00388A,USGS,,true,SD,2003-08-19 00:00:00.000,U,A,,,USGS,,7243,E70E8F6A-93A5-4061-AC9A-4205037F120C,false,false,0x0000000000024A9A,true
dbo.Chemistry SampleInfo,DataSource,179B2E86-B869-4E2B-973E-0260819E215B,,NM-00262I,USGS,,true,SD,1954-05-06 00:00:00.000,U,A,,,USGS,,7189,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x0000000000024AAB,true
dbo.Chemistry SampleInfo,DataSource,0FB3CF60-DD45-4F26-9338-03D33BAED15F,,NM-06262A,USGS,,true,SD,1977-06-16 00:00:00.000,U,A,,,USGS,,7179,7C80B259-DFC0-491B-A104-18F22F2F9556,false,false,0x0000000000024AE3,true
dbo.Chemistry SampleInfo,DataSource,61901E75-A44F-44DD-A1F3-05D13F2D3ED3,,NM-09485B,USGS,,true,SD,1952-06-18 00:00:00.000,U,A,,,USGS,,7261,CFE714EE-0995-4BC9-9D11-834360B4E2CB,false,false,0x0000000000024B41,true
dbo.Chemistry SampleInfo,DataSource,8599E594-6168-40D4-A612-08441DA6DEB6,,NM-26614F,USGS,,true,SD,2020-09-21 00:00:00.000,U,A,,,USGS,,12898,1EA07FB0-723F-4F0B-9DF1-79C239E2F9E1,false,false,0x0000000000024BA4,true
dbo.Chemistry SampleInfo,DataSource,0B3A4F8E-F206-4888-AD74-0BD93B225955,,NM-28363D,USGS,,true,SD,1991-04-25 00:00:00.000,U,A,,,USGS,,7144,7E94BEE5-26E6-E34C-8A95-C2D8B6A7CE00,false,false,0x0000000000024C39,true
dbo.Chemistry SampleInfo,DataSource,62BAA87E-B113-4AE3-A71B-0C8C3322F3EB,,NM-07330P,USGS,,true,SD,1955-05-24 00:00:00.000,U,A,,,USGS,,7209,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000024C5F,true
dbo.Chemistry SampleInfo,DataSource,67B7738C-77C1-45DC-84C7-0F758CEFB941,,NM-07330N,USGS,,true,SD,1955-03-25 00:00:00.000,U,A,,,USGS,,7207,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000024CD8,true
dbo.Chemistry SampleInfo,DataSource,D0B5CFD0-BC30-42CF-B6D1-0F93754B7764,,NM-09610A,USGS,,true,SD,1953-08-12 00:00:00.000,U,A,,,USGS,,7292,FED95411-D199-4479-8FE3-E53DEEABA0A9,false,false,0x0000000000024CDE,true
dbo.Chemistry SampleInfo,DataSource,A98F05F3-524C-479F-B8A9-12956CAC4828,,NM-00392A,USGS,,true,SD,2003-08-19 00:00:00.000,U,A,,,USGS,,7251,2F87D276-8BF6-4D4C-8301-A19BEA0D60A7,false,false,0x0000000000024D6E,true
dbo.Chemistry SampleInfo,DataSource,FC58E064-62F8-456B-9324-137A300C89A6,,NM-02589A,USGS,,true,SD,1940-07-23 00:00:00.000,U,A,,,USGS,,7237,A86E90DB-1E15-477B-B8EE-BEF147ADD9E1,false,false,0x0000000000024D95,true
dbo.Chemistry SampleInfo,DataSource,62AAE3DD-14D6-401C-BE16-1505EE4EB339,,NM-07330J,USGS,,true,SD,1954-11-30 00:00:00.000,U,A,,,USGS,,7203,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000024DE0,true
dbo.Chemistry SampleInfo,DataSource,27E98C2A-974B-4730-A4D0-153E7C5B274E,,NM-07330A,USGS,,true,SD,1953-03-05 00:00:00.000,U,A,,,USGS,,7194,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000024DED,true
dbo.Chemistry SampleInfo,DataSource,47F10840-3099-401F-AA92-15667F455A5A,,NM-07635F,USGS,,true,SD,1961-07-27 00:00:00.000,U,A,,,USGS,,7228,3215378E-5491-4E26-BBD5-B8F39AED11D8,false,false,0x0000000000024DF9,true
dbo.Chemistry SampleInfo,DataSource,4DB2D9F2-0951-43EF-8F69-15D9AEE0A29A,,NM-07435A,USGS,,true,SD,1953-03-05 00:00:00.000,U,A,,,USGS,,7219,3D541911-8AF8-43DE-ADCA-131DFE32F257,false,false,0x0000000000024E12,true
dbo.Chemistry SampleInfo,DataSource,7D4A2D2C-A8C0-44E6-A567-16BFBF1B5D01,,NM-00399C,USGS,,true,SD,1956-10-11 00:00:00.000,U,A,,,USGS,,7275,94CD3EF3-2940-44D6-B1DD-3E6BFAD0FF57,false,false,0x0000000000024E3C,true
dbo.Chemistry SampleInfo,DataSource,28C78D3C-364A-4F6E-8C91-1906446ED827,,NM-09523C,USGS,,true,SD,1953-02-02 00:00:00.000,U,A,,,USGS,,7272,B68FD3D7-7858-445F-A614-57677776620E,false,false,0x0000000000024EA2,true
dbo.Chemistry SampleInfo,DataSource,79F9CEF1-7ADA-4D16-9903-25B470198772,,NM-09575A,USGS,,true,SD,1947-11-14 00:00:00.000,U,A,,,USGS,,7283,0036B672-6D0F-4272-BD3D-F134839A3A84,false,false,0x00000000000250E6,true
dbo.Chemistry SampleInfo,DataSource,350CDE85-17D9-4979-936F-273F15E24975,,NM-00036A,USGS,,true,SD,1957-06-03 00:00:00.000,U,A,,,USGS,,7169,57498687-4EFE-4B69-9941-EB6267714000,false,false,0x0000000000025130,true
dbo.Chemistry SampleInfo,DataSource,DD5424AD-C848-4387-A50D-2878430C0C2F,,EB-653F,USGS,N,false,PR,2002-05-03 00:00:00.000,G,A,,Precip sample from 10/12/01 to 5/3/02.  USGS WRD. 3.0 inches precip,USGS,,2206,B8F0E5C9-378E-4FF1-9A59-FAA8393E0813,false,false,0x000000000002516A,true
dbo.Chemistry SampleInfo,DataSource,778663FA-772E-44B9-9325-29468E6B7AB9,,NM-08536A,USGS,,true,SD,1968-09-09 00:00:00.000,U,A,,,USGS,,7231,BBA415F8-2E84-4D1A-9AF0-0E710AB0EB80,false,false,0x000000000002518E,true
dbo.Chemistry SampleInfo,DataSource,B890E8E8-2584-4551-B175-2951FCFA83B0,,NM-00262B,USGS,,true,SD,1940-01-15 00:00:00.000,U,A,,,USGS,,7182,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x0000000000025192,true
dbo.Chemistry SampleInfo,DataSource,9A4F797A-CA5F-4C38-B901-2A2D9E6F8365,,NM-00262E,USGS,,true,SD,1953-10-19 00:00:00.000,U,A,,,USGS,,7185,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x00000000000251B5,true
dbo.Chemistry SampleInfo,DataSource,E7301A5C-B5B7-4B2B-AF21-2ABA8D9263A3,,NM-09375A,USGS,,true,SD,1954-11-23 00:00:00.000,U,A,,,USGS,,7250,8E811804-0346-4FFE-8849-AED2AAF88040,false,false,0x00000000000251E0,true
dbo.Chemistry SampleInfo,DataSource,EDB465D9-F56A-4BBA-9296-2B255CEBB028,,NM-09469C,USGS,,true,SD,1956-10-02 00:00:00.000,U,A,,,USGS,,7259,3A1A150B-6694-41FB-84A1-E87324D71F65,false,false,0x00000000000251F2,true
dbo.Chemistry SampleInfo,DataSource,43AC411F-A51B-4734-850E-2B60F7E2CF2E,,NM-09589A,USGS,,true,SD,1954-01-05 00:00:00.000,U,A,,,USGS,,7289,06FB0F61-C661-40DD-BD45-C93BE941EC15,false,false,0x0000000000025203,true
dbo.Chemistry SampleInfo,DataSource,9542A0B3-CA89-434B-8BFD-2DF5F6763DF4,,NM-09532B,USGS,,true,SD,2014-07-22 00:00:00.000,U,A,,,USGS,,7278,1BB68F6C-64FE-4B2D-83C1-1620D48DDD98,false,false,0x000000000002527E,true
dbo.Chemistry SampleInfo,DataSource,86CB9387-B19F-4378-8972-2E136BA4CF69,,NM-28367A,USGS,,true,SD,1991-04-23 00:00:00.000,U,A,,,USGS,,7157,7F086A7B-EE1F-094C-AF40-950E4C3BB382,false,false,0x0000000000025283,true
dbo.Chemistry SampleInfo,DataSource,3A6AD32D-BB51-4DD6-A1D9-2E6A4A1494D5,,NM-28364A,USGS,,true,SD,1991-04-24 00:00:00.000,U,A,,,USGS,,7149,59835AD8-D3E6-6D43-AB63-A000786D6A7E,false,false,0x0000000000025294,true
dbo.Chemistry SampleInfo,DataSource,B78CBBC4-A652-4BD9-9890-2E8791342B3D,,NM-07330L,USGS,,true,SD,1955-01-28 00:00:00.000,U,A,,,USGS,,7205,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x000000000002529C,true
dbo.Chemistry SampleInfo,DataSource,F5D590FB-35B1-4E4D-85C8-2EBDB8F67A5B,,NM-07330G,USGS,,true,SD,1954-01-18 00:00:00.000,U,A,,,USGS,,7200,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x00000000000252A7,true
dbo.Chemistry SampleInfo,DataSource,C30CDB7E-802D-4EBF-94D6-2F67A6856297,,NM-00029B,USGS,,true,SD,1964-06-30 00:00:00.000,U,A,,,USGS,,7163,71D25C51-4E4F-4876-9D27-58CAEA4AB152,false,false,0x00000000000252BE,true
dbo.Chemistry SampleInfo,DataSource,5CE37851-405A-48CB-B3E2-2FD7C73847F3,,NM-09055B,USGS,,true,SD,1954-10-19 00:00:00.000,U,A,,,USGS,,7236,8994FFF2-775B-4B66-A0FF-F156939C09C0,false,false,0x00000000000252D4,true
dbo.Chemistry SampleInfo,DataSource,A2DFC457-B3EA-4960-94A8-33FB0C1234A8,,NM-00391A,USGS,,true,SD,2003-08-19 00:00:00.000,U,A,,,USGS,,7247,5174AA52-BB51-4644-80ED-3680C07274DA,false,false,0x000000000002537A,true
dbo.Chemistry SampleInfo,DataSource,83DED0FD-3F80-44A3-995A-346FE4247DE9,,NM-28363A,USGS,,true,SD,1991-04-24 00:00:00.000,U,A,,,USGS,,7141,7E94BEE5-26E6-E34C-8A95-C2D8B6A7CE00,false,false,0x0000000000025390,true
dbo.Chemistry SampleInfo,DataSource,428A8273-18FC-4195-844F-350D9572251D,,NM-00377A,USGS,,true,SD,1995-02-09 00:00:00.000,U,A,,,USGS,,7239,7B8E6E90-ADE8-4C60-A87F-D28953D5D906,false,false,0x00000000000253A8,true
dbo.Chemistry SampleInfo,DataSource,9F99318B-2349-41C9-BCA9-351821C914D4,,NM-07330E,USGS,,true,SD,1953-11-20 00:00:00.000,U,A,,,USGS,,7198,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x00000000000253AB,true
dbo.Chemistry SampleInfo,DataSource,4AE763C1-C629-4A3E-BEBB-396139288F08,,NM-07368A,USGS,,true,SD,1961-02-26 00:00:00.000,U,A,,,USGS,,7218,6FDFB4C4-FFB7-48BB-BF4B-FD623C5C1362,false,false,0x000000000002547A,true
dbo.Chemistry SampleInfo,DataSource,DECCDF9B-1016-43B9-A94A-3A760FFFA97B,,NM-00059A,USGS,,true,SD,1957-05-17 00:00:00.000,U,A,,,USGS,,7173,A7AC75CC-8262-4448-83F6-8B957FD8D67B,false,false,0x00000000000254A9,true
dbo.Chemistry SampleInfo,DataSource,97F4A5DC-308C-43E0-AB2D-3ADAC56171B0,,NM-09575B,USGS,,true,SD,1948-06-14 00:00:00.000,U,A,,,USGS,,7284,0036B672-6D0F-4272-BD3D-F134839A3A84,false,false,0x00000000000254BA,true
dbo.Chemistry SampleInfo,DataSource,67AE3E7F-55A7-49D2-883B-3DAB55AFECF9,,NM-28367B,USGS,,true,SD,1991-04-23 00:00:00.000,U,A,,,USGS,,7158,7F086A7B-EE1F-094C-AF40-950E4C3BB382,false,false,0x0000000000025532,true
dbo.Chemistry SampleInfo,DataSource,A9DB775B-02CC-4C67-8BC6-3E2DC4CF6B0C,,NM-09532A,USGS,,true,SD,1955-05-25 00:00:00.000,U,A,,,USGS,,7277,1BB68F6C-64FE-4B2D-83C1-1620D48DDD98,false,false,0x000000000002554B,true
dbo.Chemistry SampleInfo,DataSource,54DBE9D3-CA6D-4094-9F6A-3E4B17D46B0F,,NM-08817A,USGS,,true,SD,1967-03-16 00:00:00.000,U,A,,,USGS,,7232,E074EBA6-90AE-43AB-821F-B9983AC913F3,false,false,0x0000000000025551,true
dbo.Chemistry SampleInfo,DataSource,20D57D5D-9B20-4B39-9B0A-40538C1EA960,,NM-09055A,USGS,,true,SD,1954-10-18 00:00:00.000,U,A,,,USGS,,7235,8994FFF2-775B-4B66-A0FF-F156939C09C0,false,false,0x00000000000255B5,true
dbo.Chemistry SampleInfo,DataSource,3D865878-96BF-4F3B-ACA9-40A672893CCF,,NM-07330V,USGS,,true,SD,1955-11-30 00:00:00.000,U,A,,,USGS,,7215,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x00000000000255C6,true
dbo.Chemistry SampleInfo,DataSource,16CF836E-0C04-4FAC-935F-41EBF7499EC3,,NM-00262C,USGS,,true,SD,1944-05-03 00:00:00.000,U,A,,,USGS,,7183,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x00000000000255F9,true
dbo.Chemistry SampleInfo,DataSource,EFF9BF1E-F545-44DD-BC45-43353F0F085C,,NM-09469A,USGS,,true,SD,1948-07-20 00:00:00.000,U,A,,,USGS,,7257,3A1A150B-6694-41FB-84A1-E87324D71F65,false,false,0x0000000000025636,true
dbo.Chemistry SampleInfo,DataSource,36B9E3AD-53EB-44B2-8579-45694B9D4D6A,,NM-08909B,USGS,,true,SD,2014-07-23 00:00:00.000,U,A,,,USGS,,7234,F53BE625-4477-4DDF-A7AC-F42A3D5BC299,false,false,0x0000000000025691,true
dbo.Chemistry SampleInfo,DataSource,952507A2-F8FC-4807-B78B-474174A13730,,NM-28363B,USGS,,true,SD,1991-04-24 00:00:00.000,U,A,,,USGS,,7142,7E94BEE5-26E6-E34C-8A95-C2D8B6A7CE00,false,false,0x00000000000256F0,true
dbo.Chemistry SampleInfo,DataSource,30889492-B000-4BA9-9150-482A5E5E9BAF,,NM-08166A,USGS,,true,SD,1955-03-25 00:00:00.000,U,A,,,USGS,,7230,7C09D0BA-1F5F-421B-B55F-DDA0D2400DC2,false,false,0x0000000000025717,true
dbo.Chemistry SampleInfo,DataSource,5D67EF15-125E-4195-8F59-4AE23C115747,,NM-09502A,USGS,,true,SD,1950-05-19 00:00:00.000,U,A,,,USGS,,7263,9F0AAAEB-5C4D-4E1E-9F9B-0A78D3CEE050,false,false,0x000000000002578F,true
dbo.Chemistry SampleInfo,DataSource,A5F385F5-442B-4C6D-86E5-4C3867032785,,NM-00388B,USGS,,true,SD,2003-09-22 00:00:00.000,U,A,,,USGS,,7244,E70E8F6A-93A5-4061-AC9A-4205037F120C,false,false,0x00000000000257D3,true
dbo.Chemistry SampleInfo,DataSource,D05872BC-D116-444B-A9E9-4CA28FEC1B93,,NM-09502C,USGS,,true,SD,1955-08-24 00:00:00.000,U,A,,,USGS,,7265,9F0AAAEB-5C4D-4E1E-9F9B-0A78D3CEE050,false,false,0x00000000000257E2,true
dbo.Chemistry SampleInfo,DataSource,81CFF132-0E6C-4F75-BF45-4D81CBEC5448,,NM-00399A,USGS,,true,SD,1947-11-14 00:00:00.000,U,A,,,USGS,,7273,94CD3EF3-2940-44D6-B1DD-3E6BFAD0FF57,false,false,0x0000000000025809,true
dbo.Chemistry SampleInfo,DataSource,6C29CE58-B37D-4231-806A-4E6BBFC88288,,NM-00035A,USGS,,true,SD,1970-08-11 00:00:00.000,U,A,,,USGS,,7168,A431D828-568E-4B1A-B119-E065AD763CB3,false,false,0x0000000000025837,true
dbo.Chemistry SampleInfo,DataSource,2BB23343-6BB7-4B29-95BE-4E93BCA045F1,,NM-00388C,USGS,,true,SD,2003-10-20 00:00:00.000,U,A,,,USGS,,7245,E70E8F6A-93A5-4061-AC9A-4205037F120C,false,false,0x0000000000025842,true
dbo.Chemistry SampleInfo,DataSource,6EA10549-2B98-448A-A7DB-4EA8C2FCC0F0,,NM-00377B,USGS,,true,SD,1997-03-12 00:00:00.000,U,A,,,USGS,,7240,7B8E6E90-ADE8-4C60-A87F-D28953D5D906,false,false,0x000000000002584A,true
dbo.Chemistry SampleInfo,DataSource,ABCC4B91-17FD-40A8-9EDB-5130B9945F38,,NM-26614A,USGS,,true,SD,2020-04-23 00:00:00.000,U,A,,,USGS,,12893,1EA07FB0-723F-4F0B-9DF1-79C239E2F9E1,false,false,0x00000000000258B5,true
dbo.Chemistry SampleInfo,DataSource,EF4AB923-DBAF-4421-BBA0-514DC43E0DA0,,NM-09449A,USGS,,true,SD,1967-03-19 00:00:00.000,U,A,,,USGS,,7256,909F96BD-D7AF-47F9-9A5B-22CF5064CA35,false,false,0x00000000000258BB,true
dbo.Chemistry SampleInfo,DataSource,13E3DD37-AC05-4C55-B35E-528DF5195EE4,,NM-00399B,USGS,,true,SD,1953-03-19 00:00:00.000,U,A,,,USGS,,7274,94CD3EF3-2940-44D6-B1DD-3E6BFAD0FF57,false,false,0x00000000000258FE,true
dbo.Chemistry SampleInfo,DataSource,701D6A5F-36C3-4353-9830-557E5AE4BBAD,,NM-09469B,USGS,,true,SD,1952-07-14 00:00:00.000,U,A,,,USGS,,7258,3A1A150B-6694-41FB-84A1-E87324D71F65,false,false,0x0000000000025980,true
dbo.Chemistry SampleInfo,DataSource,344F89AF-C447-48D0-8511-568BF5E0E96F,,NM-07330H,USGS,,true,SD,1954-03-15 00:00:00.000,U,A,,,USGS,,7201,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x00000000000259B5,true
dbo.Chemistry SampleInfo,DataSource,49C8ECB4-9598-4D3C-8820-56B770A0B52D,,EB-653H,USGS,N,false,PR,2003-04-09 00:00:00.000,G,A,,Precip sample from 10/17/02 to 4/9/03.  USGS WRD. 5.4 Inches precip.,USGS,,777,B8F0E5C9-378E-4FF1-9A59-FAA8393E0813,false,false,0x00000000000259BD,true
dbo.Chemistry SampleInfo,DataSource,6B710936-ED42-4EDD-9B72-584A7B0DEF96,,NM-09173A,USGS,,true,SD,1928-05-21 00:00:00.000,U,A,,,USGS,,7238,22F6350E-243C-44C9-80FE-3161E832E940,false,false,0x0000000000025A01,true
dbo.Chemistry SampleInfo,DataSource,1614ED3F-0457-4F5B-916C-590417DB84E7,,NM-07330K,USGS,,true,SD,1954-12-31 00:00:00.000,U,A,,,USGS,,7204,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025A22,true
dbo.Chemistry SampleInfo,DataSource,C23F3EE8-EC48-48E5-8FCD-5A01AED24D90,,NM-00091A,USGS,,true,SD,1957-05-17 00:00:00.000,U,A,,,USGS,,7174,CB7C58C4-A972-462A-9B27-5E759D4EEF35,false,false,0x0000000000025A52,true
dbo.Chemistry SampleInfo,DataSource,0D664B53-DA0E-435E-947C-5B80556BB790,,NM-09553B,USGS,,true,SD,1995-02-08 00:00:00.000,U,A,,,USGS,,7282,01CB6757-12E7-4B43-B68F-EE1373746F28,false,false,0x0000000000025A9F,true
dbo.Chemistry SampleInfo,DataSource,4875D9C8-335F-41FF-9328-5BCC288C7868,,NM-00417A,USGS,,true,SD,1954-12-24 00:00:00.000,U,A,,,USGS,,7295,251D0EED-43FA-43E5-850C-3F78C72F6604,false,false,0x0000000000025AB3,true
dbo.Chemistry SampleInfo,DataSource,E2927070-9F2D-4ABC-9FE6-5CA1217FCF08,,NM-00262D,USGS,,true,SD,1949-05-23 00:00:00.000,U,A,,,USGS,,7184,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x0000000000025AD7,true
dbo.Chemistry SampleInfo,DataSource,F057D50A-921A-4C29-8D6F-5D68B7336551,,NM-28365C,USGS,,true,SD,1991-04-22 00:00:00.000,U,A,,,USGS,,7155,C5ABC0E0-EDEC-8B4D-A300-E8470ECED04F,false,false,0x0000000000025AF2,true
dbo.Chemistry SampleInfo,DataSource,1B30AE7D-7826-4B7C-B6CC-5DA5DA6C8092,,EB-653E,USGS,N,false,PR,2001-10-12 00:00:00.000,G,A,,Precip sample from 4/25/01 to 10/12/01.  USGS WRD. 6.1 inches precip,USGS,,404,B8F0E5C9-378E-4FF1-9A59-FAA8393E0813,false,false,0x0000000000025AFC,true
dbo.Chemistry SampleInfo,DataSource,40979EE7-61AE-4DD4-98BF-611602FB88B1,,NM-07330F,USGS,,true,SD,1953-12-08 00:00:00.000,U,A,,,USGS,,7199,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025B85,true
dbo.Chemistry SampleInfo,DataSource,59310498-B59D-4926-A610-613980DB86FB,,NM-07667A,USGS,,true,SD,1949-02-07 00:00:00.000,U,A,,,USGS,,7229,961CB4F1-5A6A-4A4C-8B36-B3A627064B11,false,false,0x0000000000025B88,true
dbo.Chemistry SampleInfo,DataSource,D24EDA88-E91A-4505-87D8-62A2CCB002D5,,NM-07330B,USGS,,true,SD,1953-07-11 00:00:00.000,U,A,,,USGS,,7195,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025BD5,true
dbo.Chemistry SampleInfo,DataSource,6E1DFA2D-427B-431C-98C7-62B543071BE6,,NM-09553A,USGS,,true,SD,1955-04-30 00:00:00.000,U,A,,,USGS,,7281,01CB6757-12E7-4B43-B68F-EE1373746F28,false,false,0x0000000000025BD6,true
dbo.Chemistry SampleInfo,DataSource,D6A7089E-6245-48F4-AB5C-643FB92E2F59,,NM-07330D,USGS,,true,SD,1953-10-31 00:00:00.000,U,A,,,USGS,,7197,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025C1B,true
dbo.Chemistry SampleInfo,DataSource,A4EFA796-3516-45D9-BFC4-6626733C6E8F,,NM-00391B,USGS,,true,SD,2003-09-22 00:00:00.000,U,A,,,USGS,,7248,5174AA52-BB51-4644-80ED-3680C07274DA,false,false,0x0000000000025C65,true
dbo.Chemistry SampleInfo,DataSource,3D7E7E91-1F0C-413B-9501-6702B866FA20,,NM-28364D,USGS,,true,SD,1991-04-24 00:00:00.000,U,A,,,USGS,,7152,59835AD8-D3E6-6D43-AB63-A000786D6A7E,false,false,0x0000000000025C96,true
dbo.Chemistry SampleInfo,DataSource,B374B4E8-80E3-4C7D-B5BD-6743E39862AF,,NM-09418A,USGS,,true,SD,1954-11-02 00:00:00.000,U,A,,,USGS,,7255,CEE5BF10-AC25-4136-BA6A-465909BD2616,false,false,0x0000000000025CA2,true
dbo.Chemistry SampleInfo,DataSource,1938523C-77A1-4DF6-BBF0-6CD49FE12D23,,NM-28363F,USGS,,true,SD,1991-04-25 00:00:00.000,U,A,,,USGS,,7146,7E94BEE5-26E6-E34C-8A95-C2D8B6A7CE00,false,false,0x0000000000025DB1,true
