PointID,MeasuringAgency
AR-0052,NMBGMR
AR-0052,NMOSE
AR-0053,NMBGMR
AR-0053,NMOSE
AR-0054,NMBGMR
AR-0054,NMOSE
AR-0056,NMBGMR
AR-0056,NMOSE
AR-0057,NMBGMR
AR-0057,NMOSE
AR-0058,NMBGMR
AR-0058,NMOSE
AR-0059,NMBGMR
AR-0059,NMOSE
AR-0060,NMBGMR
AR-0060,NMOSE
AR-0063,NMBGMR
AR-0063,NMOSE
AR-0065,NMBGMR
AR-0065,NMOSE
AR-0066,NMBGMR
AR-0066,NMOSE
AR-0067,NMBGMR
AR-0067,NMOSE
AR-0068,NMBGMR
AR-0068,NMOSE
AR-0070,NMBGMR
AR-0070,NMOSE
AR-0071,NMBGMR
AR-0071,NMOSE
AR-0072,NMBGMR
AR-0072,NMOSE
AR-0073,NMBGMR
AR-0073,NMOSE
AR-0074,NMBGMR
AR-0074,USGS
AR-0075,NMBGMR
AR-0075,USGS
AR-0077,NMBGMR
AR-0077,USGS
AR-0078,NMBGMR
AR-0078,USGS
AR-0080,NMBGMR
AR-0080,USGS
AR-0081,NMBGMR
AR-0081,USGS
AR-0082,NMBGMR
AR-0082,USGS
AR-0083,NMBGMR
AR-0083,USGS
AR-0084,NMBGMR
AR-0084,USGS
AR-0086,NMBGMR
AR-0086,USGS
AR-0087,NMBGMR
AR-0087,USGS
AR-0088,NMBGMR
AR-0088,USGS
AR-0092,NMBGMR
AR-0092,USGS
AR-0093,NMBGMR
AR-0093,USGS
AR-0094,NMBGMR
AR-0094,USGS
AR-0096,NMBGMR
AR-0096,USGS
AR-0099,NMBGMR
AR-0099,USGS
AR-0101,NMBGMR
AR-0101,USGS
AR-0102,NMBGMR
AR-0102,USGS
AR-0103,NMBGMR
AR-0103,USGS
AR-0104,NMBGMR
AR-0104,USGS
AR-0105,NMBGMR
AR-0105,USGS
AR-0106,NMBGMR
AR-0106,USGS
AR-0110,NMBGMR
AR-0110,USGS
AR-0111,NMBGMR
AR-0111,USGS
AR-0112,NMBGMR
AR-0112,USGS
AR-0113,NMBGMR
AR-0113,USGS
AR-0114,NMBGMR
AR-0114,USGS
AR-0116,NMBGMR
AR-0116,USGS
BC-0008,Bernalillo Cty
BC-0008,USGS
BC-0011,Bernalillo Cty
BC-0011,USGS
BC-0012,Bernalillo Cty
BC-0012,USGS
BC-0013,Bernalillo Cty
BC-0013,USGS
BC-0023,Bernalillo Cty
BC-0023,USGS
BC-0024,Bernalillo Cty
BC-0024,USGS
BC-0034,Bernalillo Cty
BC-0034,USGS
BC-0083,Bernalillo Cty
BC-0083,USGS
BC-0098,Bernalillo Cty
BC-0098,USGS
BC-0099,Bernalillo Cty
BC-0099,USGS
BC-0156,Bernalillo Cty
BC-0156,USGS
BC-0160,Bernalillo Cty
BC-0160,USGS
BC-0166,
BC-0166,Bernalillo Cty
BC-0166,NMBGMR
BC-0166,USGS
EB-010,
EB-010,NMBGMR
EB-010,USGS
EB-011,
EB-011,NMBGMR
EB-011,USGS
EB-014,
EB-014,NMBGMR
EB-014,USGS
EB-016,
EB-016,NMBGMR
EB-016,USGS
EB-102,
EB-102,NMBGMR
EB-102,USGS
EB-115,
EB-115,NMBGMR
EB-115,USGS
EB-130,
EB-130,NMBGMR
EB-130,USGS
EB-160,
EB-160,NMBGMR
EB-160,USGS
EB-161,
EB-161,NMBGMR
EB-161,USGS
EB-164,
EB-164,NMBGMR
EB-164,USGS
EB-171,
EB-171,NMBGMR
EB-171,USGS
EB-204,
EB-204,NMBGMR
EB-204,USGS
EB-205,
EB-205,NMBGMR
EB-205,USGS
EB-206,
EB-206,NMBGMR
EB-206,USGS
EB-207,
EB-207,NMBGMR
EB-207,USGS
EB-208,
EB-208,NMBGMR
EB-208,USGS
EB-209,
EB-209,NMBGMR
EB-209,USGS
EB-210,
EB-210,NMBGMR
EB-210,USGS
EB-211,
EB-211,NMBGMR
EB-211,USGS
EB-213,NMBGMR
EB-213,USGS
EB-216,NMBGMR
EB-216,USGS
EB-217,
EB-217,NMBGMR
EB-217,USGS
EB-218,
EB-218,NMBGMR
EB-218,USGS
EB-219,
EB-219,NMBGMR
EB-219,USGS
EB-220,
EB-220,NMBGMR
EB-220,USGS
EB-221,
EB-221,NMBGMR
EB-221,USGS
EB-222,
EB-222,NMBGMR
EB-222,USGS
EB-223,NMBGMR
EB-223,USGS
EB-224,
EB-224,NMBGMR
EB-224,USGS
EB-225,
EB-225,NMBGMR
EB-225,USGS
EB-226,
EB-226,NMBGMR
EB-226,USGS
EB-227,
EB-227,NMBGMR
EB-227,USGS
EB-228,
EB-228,NMBGMR
EB-228,USGS
EB-229,
EB-229,NMBGMR
EB-229,USGS
EB-231,
EB-231,NMBGMR
EB-231,USGS
EB-232,
EB-232,NMBGMR
EB-232,USGS
EB-233,
EB-233,NMBGMR
EB-233,USGS
EB-234,NMBGMR
EB-234,USGS
EB-235,
EB-235,NMBGMR
EB-235,USGS
EB-236,
EB-236,NMBGMR
EB-236,USGS
EB-237,
EB-237,NMBGMR
EB-237,USGS
EB-238,
EB-238,NMBGMR
EB-238,USGS
EB-239,
EB-239,NMBGMR
EB-239,USGS
EB-240,
EB-240,NMBGMR
EB-240,USGS
EB-243,
EB-243,NMBGMR
EB-243,USGS
EB-247,
EB-247,NMBGMR
EB-247,USGS
EB-248,
EB-248,NMBGMR
EB-248,USGS
EB-249,NMBGMR
EB-249,USGS
EB-250,
EB-250,NMBGMR
EB-250,USGS
EB-251,
EB-251,NMBGMR
EB-251,USGS
EB-253,NMBGMR
EB-253,USGS
EB-257,NMBGMR
EB-257,USGS
EB-258,
EB-258,NMBGMR
EB-258,USGS
EB-259,
EB-259,NMBGMR
EB-259,USGS
EB-261,NMBGMR
EB-261,USGS
EB-265,NMBGMR
EB-265,USGS
EB-266,NMBGMR
EB-266,USGS
EB-267,NMBGMR
EB-267,USGS
EB-271,
EB-271,NMBGMR
EB-271,USGS
EB-273,
EB-273,NMBGMR
EB-273,USGS
EB-274,
EB-274,NMBGMR
EB-274,USGS
EB-287,
EB-287,NMBGMR
EB-287,USGS
EB-307,NMBGMR
EB-307,USGS
EB-341,
EB-341,NMBGMR
EB-341,USGS
EB-387,NMBGMR
EB-387,SFC
EB-388,NMBGMR
EB-388,SFC
EB-389,NMBGMR
EB-389,SFC
EB-582,NMBGMR
EB-582,USGS
EB-586,NMBGMR
EB-586,USGS
EB-643,USFS
EB-643,USGS
EB-696,NMBGMR
EB-696,SFC
HS-039,NMBGMR
HS-039,NMED
JM-015,
JM-015,NMBGMR
JM-015,USGS
JM-033,NMBGMR
JM-033,USGS
JM-044,NMBGMR
JM-044,USGS
JM-046,NMBGMR
JM-046,USGS
JM-047,NMBGMR
JM-047,USGS
JM-049,NMBGMR
JM-049,USGS
NM-00037,NMBGMR
NM-00037,USGS
NM-00039,NMBGMR
NM-00039,USGS
NM-00079,SNL
NM-00079,USGS
NM-00087,SNL
NM-00087,USGS
NM-00109,SNL
NM-00109,USGS
NM-00112,SNL
NM-00112,USGS
NM-00225,NMBGMR
NM-00225,USGS
NM-00253,BLM
NM-00253,USGS
NM-00257,
NM-00257,BLM
NM-00257,USGS
NM-00276,NMBGMR
NM-00276,USGS
NM-00280,NMBGMR
NM-00280,USGS
NM-00367,NMBGMR
NM-00367,USGS
NM-00643,NMBGMR
NM-00643,USGS
NM-00904,NMBGMR
NM-00904,USGS
NM-01326,NMBGMR
NM-01326,USGS
NM-01802,NMBGMR
NM-01802,USGS
NM-01819,NMBGMR
NM-01819,USGS
NM-01854,NMBGMR
NM-01854,USGS
NM-01859,NMBGMR
NM-01859,USGS
NM-01873,NMBGMR
NM-01873,USGS
NM-01876,NMBGMR
NM-01876,USGS
NM-01917,NMBGMR
NM-01917,USGS
NM-01922,NMBGMR
NM-01922,USGS
NM-01941,NMBGMR
NM-01941,USGS
NM-01949,NMBGMR
NM-01949,USGS
NM-01959,NMBGMR
NM-01959,USGS
NM-01964,NMBGMR
NM-01964,USGS
NM-01965,NMBGMR
NM-01965,USGS
NM-02018,NMBGMR
NM-02018,USGS
NM-02032,NMBGMR
NM-02032,USGS
NM-02037,NMBGMR
NM-02037,USGS
NM-02040,NMBGMR
NM-02040,USGS
NM-02045,NMBGMR
NM-02045,USGS
NM-02055,NMBGMR
NM-02055,USGS
NM-02072,NMBGMR
NM-02072,USGS
NM-02077,NMBGMR
NM-02077,USGS
NM-02086,NMBGMR
NM-02086,USGS
NM-02092,NMBGMR
NM-02092,USGS
NM-02115,NMBGMR
NM-02115,USGS
NM-02116,NMBGMR
NM-02116,USGS
NM-02120,NMBGMR
NM-02120,USGS
NM-02121,NMBGMR
NM-02121,USGS
NM-02128,NMBGMR
NM-02128,USGS
NM-02161,NMBGMR
NM-02161,USGS
NM-02174,NMBGMR
NM-02174,USGS
NM-02175,NMBGMR
NM-02175,USGS
NM-02186,NMBGMR
NM-02186,USGS
NM-02192,NMBGMR
NM-02192,USGS
NM-02225,NMBGMR
NM-02225,USGS
NM-02227,NMBGMR
NM-02227,USGS
NM-02232,NMBGMR
NM-02232,USGS
NM-02234,NMBGMR
NM-02234,USGS
NM-02242,NMBGMR
NM-02242,USGS
NM-02244,NMBGMR
NM-02244,USGS
NM-02247,NMBGMR
NM-02247,USGS
NM-02249,NMBGMR
NM-02249,USGS
NM-02264,NMBGMR
NM-02264,USGS
NM-02272,NMBGMR
NM-02272,USGS
NM-02332,NMBGMR
NM-02332,USGS
NM-02333,SNL
NM-02333,USGS
NM-02346,NMBGMR
NM-02346,USGS
NM-02351,NMBGMR
NM-02351,USGS
NM-02355,NMBGMR
NM-02355,USGS
NM-02358,NMBGMR
NM-02358,USGS
NM-02363,NMBGMR
NM-02363,USGS
NM-02390,NMBGMR
NM-02390,USGS
NM-02394,NMBGMR
NM-02394,USGS
NM-02402,NMBGMR
NM-02402,USGS
NM-02405,NMBGMR
NM-02405,USGS
NM-02406,NMBGMR
NM-02406,USGS
NM-02407,NMBGMR
NM-02407,USGS
NM-02410,NMBGMR
NM-02410,USGS
NM-02412,NMBGMR
NM-02412,USGS
NM-02431,NMBGMR
NM-02431,USGS
NM-02461,NMBGMR
NM-02461,USGS
NM-02472,NMBGMR
NM-02472,USGS
NM-02480,NMBGMR
NM-02480,USGS
NM-02514,NMBGMR
NM-02514,USGS
NM-02546,NMBGMR
NM-02546,USGS
NM-02560,BLM
NM-02560,USGS
NM-02572,NMBGMR
NM-02572,USGS
NM-02613,NMBGMR
NM-02613,USGS
NM-02627,NMBGMR
NM-02627,USGS
NM-02732,NMOSE
NM-02732,USGS
NM-03667,NMBGMR
NM-03667,USGS
NM-03672,
NM-03672,NMBGMR
NM-03672,USGS
NM-03679,NMBGMR
NM-03679,USGS
NM-03786,NMBGMR
NM-03786,USGS
NM-03819,NMBGMR
NM-03819,USGS
NM-04102,NMBGMR
NM-04102,USGS
NM-04145,NMBGMR
NM-04145,USGS
NM-04233,NMBGMR
NM-04233,USGS
NM-04267,NMBGMR
NM-04267,USGS
NM-04325,NMBGMR
NM-04325,USGS
NM-04335,NMBGMR
NM-04335,USGS
NM-04362,NMBGMR
NM-04362,USGS
NM-04366,NMBGMR
NM-04366,USGS
NM-04432,NMBGMR
NM-04432,USGS
NM-04528,NMBGMR
NM-04528,USGS
NM-04540,NMBGMR
NM-04540,USGS
NM-04572,NMBGMR
NM-04572,USGS
NM-04723,NMBGMR
NM-04723,USGS
NM-04832,NMBGMR
NM-04832,USGS
NM-04899,NMBGMR
NM-04899,USGS
NM-04961,NMBGMR
NM-04961,USGS
NM-05017,BLM
NM-05017,USGS
NM-05195,NMBGMR
NM-05195,USGS
NM-05243,NMBGMR
NM-05243,USGS
NM-05358,NMBGMR
NM-05358,USGS
NM-05638,NMBGMR
NM-05638,USGS
NM-05708,NMBGMR
NM-05708,USGS
NM-05772,NMBGMR
NM-05772,USGS
NM-05946,NMBGMR
NM-05946,USGS
NM-05950,NMBGMR
NM-05950,USGS
NM-06061,NMBGMR
NM-06061,USGS
NM-06101,NMBGMR
NM-06101,USGS
NM-06532,NMBGMR
NM-06532,USGS
NM-06901,NMBGMR
NM-06901,USGS
NM-06964,
NM-06964,BLM
NM-06964,SNL
NM-06964,USGS
NM-07039,NMBGMR
NM-07039,USGS
NM-07076,NMBGMR
NM-07076,USGS
NM-07190,NMBGMR
NM-07190,USGS
NM-07198,NMBGMR
NM-07198,USGS
NM-07225,BLM
NM-07225,SNL
NM-07225,USGS
NM-07288,SNL
NM-07288,USGS
NM-07437,NMBGMR
NM-07437,USGS
NM-07537,NMBGMR
NM-07537,USGS
NM-07567,NMBGMR
NM-07567,USGS
NM-07749,NMBGMR
NM-07749,USGS
NM-08040,NMBGMR
NM-08040,USGS
NM-08634,NMBGMR
NM-08634,USGS
NM-09362,NMBGMR
NM-09362,USGS
NM-23292,
NM-23292,NMBGMR
NM-23292,USGS
NM-26614,NMBGMR
NM-26614,NPS
NM-26614,USGS
NM-26726,NMBGMR
NM-26726,USGS
NM-26733,NMBGMR
NM-26733,USGS
NM-26737,NMBGMR
NM-26737,USGS
NM-26755,NMBGMR
NM-26755,USGS
NM-26794,
NM-26794,BLM
NM-26794,NMOSE
NM-26798,
NM-26798,BLM
NM-26798,SNL
NM-27378,SNL
NM-27378,USGS
PC-029,NMBGMR
PC-029,USGS
PC-095,NMBGMR
PC-095,NMOSE
QU-068,
QU-068,NMBGMR
QU-068,NMED
QU-069,
QU-069,NMBGMR
QU-069,NMED
QU-070,
QU-070,NMBGMR
QU-070,NMED
QU-071,
QU-071,NMBGMR
QU-071,NMED
QU-072,
QU-072,NMBGMR
QU-072,NMED
QU-073,
QU-073,NMBGMR
QU-073,NMED
QU-075,
QU-075,NMBGMR
QU-075,NMED
QU-076,
QU-076,NMBGMR
QU-076,NMED
QU-077,
QU-077,NMBGMR
QU-077,NMED
QU-078,
QU-078,NMBGMR
QU-078,NMED
QU-081,
QU-081,NMBGMR
QU-081,NMED
QU-082,
QU-082,NMBGMR
QU-082,NMED
QU-083,
QU-083,NMBGMR
QU-083,NMED
QU-084,
QU-084,NMBGMR
QU-084,NMED
QU-085,
QU-085,NMBGMR
QU-085,NMED
QU-086,
QU-086,NMBGMR
QU-086,NMED
QU-087,
QU-087,NMBGMR
QU-087,NMED
QU-089,
QU-089,NMBGMR
QU-089,NMED
QU-090,
QU-090,NMBGMR
QU-090,NMED
QU-091,
QU-091,NMBGMR
QU-091,NMED
QU-094,
QU-094,NMBGMR
QU-094,NMED
QU-095,
QU-095,NMBGMR
QU-095,NMED
QU-096,
QU-096,NMBGMR
QU-096,NMED
QU-097,
QU-097,NMBGMR
QU-097,NMED
QU-098,
QU-098,NMBGMR
QU-098,NMED
QU-099,
QU-099,NMBGMR
QU-099,NMED
SA-0001,
SA-0001,NMBGMR
SA-0001,USGS
SA-0002,
SA-0002,NMBGMR
SA-0002,USGS
SA-0003,
SA-0003,NMBGMR
SA-0003,USGS
SA-0004,
SA-0004,NMBGMR
SA-0004,USGS
SA-0006,
SA-0006,NMBGMR
SA-0006,USGS
SA-0007,
SA-0007,NMBGMR
SA-0007,USGS
SA-0009,
SA-0009,NMBGMR
SA-0009,USGS
SA-0010,
SA-0010,NMBGMR
SA-0010,USGS
SA-0012,
SA-0012,NMBGMR
SA-0012,USGS
SA-0013,
SA-0013,NMBGMR
SA-0013,USGS
SA-0014,
SA-0014,NMBGMR
SA-0014,USGS
SA-0018,
SA-0018,NMBGMR
SA-0018,USGS
SA-0019,
SA-0019,NMBGMR
SA-0019,USGS
SA-0020,
SA-0020,NMBGMR
SA-0020,USGS
SA-0022,
SA-0022,NMBGMR
SA-0022,USGS
SA-0023,
SA-0023,NMBGMR
SA-0023,USGS
SA-0024,
SA-0024,NMBGMR
SA-0024,USGS
SA-0025,
SA-0025,NMBGMR
SA-0025,USGS
SA-0026,
SA-0026,NMBGMR
SA-0026,USGS
SA-0027,
SA-0027,NMBGMR
SA-0027,USGS
SA-0028,
SA-0028,NMBGMR
SA-0028,USGS
SA-0029,
SA-0029,NMBGMR
SA-0029,USGS
SA-0031,
SA-0031,NMBGMR
SA-0031,USGS
SA-0032,
SA-0032,NMBGMR
SA-0032,USGS
SA-0033,
SA-0033,NMBGMR
SA-0033,USGS
SA-0034,
SA-0034,NMBGMR
SA-0034,USGS
SA-0035,
SA-0035,NMBGMR
SA-0035,USGS
SA-0036,
SA-0036,NMBGMR
SA-0036,USGS
SA-0038,
SA-0038,NMBGMR
SA-0038,USGS
SA-0042,
SA-0042,NMBGMR
SA-0042,USGS
SA-0043,
SA-0043,NMBGMR
SA-0043,USGS
SA-0044,
SA-0044,NMBGMR
SA-0044,USGS
